SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
 15	  1	  1	Vince_Vaughn{VIN}.jpg	face	new	  1	1.544	cr	new	na	na	na	na	  0
 15	  2	  1	Jennifer_Aniston{JENNIFER}.jpg	face	old	  1	0.943	hit	old	P1	P14	B	F	  8
 15	  3	  1	8022956.jpg	obj	old	  1	1.317	hit	old	P2	P14	B	F	  8
 15	  4	  1	Whoopi_Goldberg.jpg	face	new	  1	1.120	cr	new	na	na	na	na	  0
 15	  5	  1	George_Clooney{PRESIDENT}.jpg	face	old	  1	0.823	hit	old	P1	P23	NB	F	  7
 15	  6	  1	9818756.jpg	obj	old	  1	0.809	hit	old	P2	P23	NB	F	  7
 15	  7	  1	Mila_Kunis.jpg	face	old	  0	0.870	miss	new	P1	P23	NB	F	 16
 15	  8	  1	22538306.jpg	obj	old	  1	1.869	hit	old	P2	P23	NB	F	 16
 15	  9	  1	Tyra_Banks.jpg	face	old	  1	0.913	hit	old	P1	P23	B	F	 14
 15	 10	  1	23014856.jpg	obj	old	  1	0.825	hit	old	P2	P23	B	F	 14
 15	 11	  1	26688127.jpg	obj	new	  1	0.909	cr	new	na	na	na	na	  0
 15	 12	  1	Barbara_Walters{}.jpg	face	old	  1	0.721	hit	old	P1	P14	B	F	 14
 15	 13	  1	23251144.jpg	obj	old	  1	0.785	hit	old	P2	P14	B	F	 14
 15	 14	  1	Meg_Ryan{}.jpg	face	old	  1	0.767	hit	old	P1	P23	NB	F	 11
 15	 15	  1	23093909.jpg	obj	old	  1	0.758	hit	old	P2	P23	NB	F	 11
 15	 16	  1	Ozzy_Osbourne.jpg	face	new	  1	0.616	cr	new	na	na	na	na	  0
 15	 17	  1	26686197.jpg	obj	new	  1	0.762	cr	new	na	na	na	na	  0
 15	 18	  1	Julia_Roberts{JULIA}.jpg	face	new	  1	1.044	cr	new	na	na	na	na	  0
 15	 19	  1	26684719.jpg	obj	new	  1	0.888	cr	new	na	na	na	na	  0
 15	 20	  1	26555865.jpg	obj	new	  1	0.941	cr	new	na	na	na	na	  0
 15	 21	  1	22907985.jpg	obj	old	  1	0.697	hit	old	P1	P23	NB	O	 13
 15	 22	  1	Barack_Obama.jpg	face	old	  1	0.773	hit	old	P2	P23	NB	O	 13
 15	 23	  1	Renee_Zellweger{}.jpg	face	new	  1	0.771	cr	new	na	na	na	na	  0
 15	 24	  1	James_Franco.jpg	face	new	  1	1.290	cr	new	na	na	na	na	  0
 15	 25	  1	26685493.jpg	obj	new	  1	0.977	cr	new	na	na	na	na	  0
 15	 26	  1	Reese_Witherspoon.jpg	face	old	  1	0.639	hit	old	P1	P14	NB	F	 11
 15	 27	  1	8020053.jpg	obj	old	  1	0.849	hit	old	P2	P14	NB	F	 11
 15	 28	  1	Cher{}.jpg	face	new	  1	0.795	cr	new	na	na	na	na	  0
 15	 29	  1	Charlize_Theron.jpg	face	old	  1	1.297	hit	old	P1	P14	B	F	 10
 15	 30	  1	9817020.jpg	obj	old	  1	1.069	hit	old	P2	P14	B	F	 10
 15	 31	  1	8076656.jpg	obj	old	  1	0.560	hit	old	P1	P23	NB	O	  2
 15	 32	  1	Halle_Berry{}.jpg	face	old	  1	0.737	hit	old	P2	P23	NB	O	  2
 15	 33	  1	Alec_Baldwin{ALEX}.jpg	face	old	  1	0.845	hit	old	P1	P14	NB	F	  3
 15	 34	  1	22950692.jpg	obj	old	  0	0.770	miss	new	P2	P14	NB	F	  3
 15	 35	  1	23397952.jpg	obj	new	  1	1.617	cr	new	na	na	na	na	  0
 15	 36	  1	Jake_Gyllenhaal.jpg	face	new	  1	1.106	cr	new	na	na	na	na	  0
 15	 37	  1	Will_Ferrell.jpg	face	new	  1	1.079	cr	new	na	na	na	na	  0
 15	 38	  1	22782436.jpg	obj	old	  1	0.684	hit	old	P1	P23	B	O	  6
 15	 39	  1	Dave_Matthews.jpg	face	old	  1	1.526	hit	old	P2	P23	B	O	  6
 15	 40	  1	Janet_Jackson.jpg	face	old	  1	0.816	hit	old	P1	P14	B	F	  5
 15	 41	  1	8256752.jpg	obj	old	  1	0.822	hit	old	P2	P14	B	F	  5
 15	 42	  1	8250952.jpg	obj	old	  1	0.766	hit	old	P1	P23	B	O	  9
 15	 43	  1	Sarah_Palin.jpg	face	old	  1	1.368	hit	old	P2	P23	B	O	  9
 15	 44	  1	Liza_Minelli{LISA}.jpg	face	new	  1	0.898	cr	new	na	na	na	na	  0
 15	 45	  1	Chris_Rock.jpg	face	new	  1	1.262	cr	new	na	na	na	na	  0
 15	 46	  1	26687714.jpg	obj	new	  1	0.762	cr	new	na	na	na	na	  0
 15	 47	  1	23272300.jpg	obj	new	  0	0.829	fa	old	na	na	na	na	  0
 15	 48	  1	8255674.jpg	obj	old	  1	0.682	hit	old	P1	P14	NB	O	  4
 15	 49	  1	Kayne_West.jpg	face	old	  1	0.805	hit	old	P2	P14	NB	O	  4
 15	 50	  1	Ben_Stiller{BEN}.jpg	face	old	  1	0.672	hit	old	P1	P23	B	F	 10
 15	 51	  1	8021260.jpg	obj	old	  1	0.930	hit	old	P2	P23	B	F	 10
 15	 52	  1	35811537.jpg	obj	new	  1	0.714	cr	new	na	na	na	na	  0
 15	 53	  1	23643160.jpg	obj	new	  1	0.915	cr	new	na	na	na	na	  0
 15	 54	  1	22524591.jpg	obj	old	  1	1.197	hit	old	P1	P14	B	O	  6
 15	 55	  1	Elizabeth_Taylor.jpg	face	old	  1	0.848	hit	old	P2	P14	B	O	  6
 15	 56	  1	26688112.jpg	obj	new	  1	0.908	cr	new	na	na	na	na	  0
 15	 57	  1	22726324.jpg	obj	old	  1	0.789	hit	old	P1	P14	NB	O	 13
 15	 58	  1	Cameron_Diaz.jpg	face	old	  1	0.769	hit	old	P2	P14	NB	O	 13
 15	 59	  1	22756624.jpg	obj	old	  1	1.358	hit	old	P1	P14	B	O	  1
 15	 60	  1	Sheryl_Crow.jpg	face	old	  0	1.094	miss	new	P2	P14	B	O	  1
 15	 61	  1	Lenny_Kravitz.jpg	face	new	  0	0.675	fa	old	na	na	na	na	  0
 15	 62	  1	26688899.jpg	obj	new	  1	1.486	cr	new	na	na	na	na	  0
 15	 63	  1	22749112.jpg	obj	old	  1	0.785	hit	old	P1	P23	NB	O	 15
 15	 64	  1	Charlie_Sheen{}.jpg	face	old	  1	1.089	hit	old	P2	P23	NB	O	 15
 15	 65	  1	John_Lennon{JOHN}.jpg	face	new	  0	0.953	fa	old	na	na	na	na	  0
 15	 66	  1	Pierce_Brosnan.jpg	face	old	  1	1.814	hit	old	P1	P14	NB	F	 16
 15	 67	  1	22855177.jpg	obj	old	  1	1.676	hit	old	P2	P14	NB	F	 16
 15	 68	  1	Sandra_Bullock.jpg	face	old	  1	0.870	hit	old	P1	P23	B	F	  8
 15	 69	  1	23126525.jpg	obj	old	  1	0.654	hit	old	P2	P23	B	F	  8
 15	 70	  1	26686173.jpg	obj	new	  1	1.113	cr	new	na	na	na	na	  0
 15	 71	  1	Cindy_Crawford{}.jpg	face	old	  1	2.007	hit	old	P1	P14	NB	F	 12
 15	 72	  1	8055907.jpg	obj	old	  1	1.169	hit	old	P2	P14	NB	F	 12
 15	 73	  1	22901145.jpg	obj	old	  1	0.966	hit	old	P1	P14	NB	O	  2
