SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
  6	  1	  1	Gwen_Stefani{GWEN}.jpg	face	old	  1	1.691	hit	old	P1	P23	B	F	  8
  6	  2	  1	22514370.jpg	obj	old	  0	1.410	miss	new	P2	P23	B	F	  8
  6	  3	  1	23399212.jpg	obj	new	  1	2.107	cr	new	na	na	na	na	  0
  6	  4	  1	Hillary_Clinton{BILL}.jpg	face	old	  1	0.750	hit	old	P1	P23	B	F	  2
  6	  5	  1	8022722.jpg	obj	old	  1	1.579	hit	old	P2	P23	B	F	  2
  6	  6	  1	23274964.jpg	obj	new	  1	1.195	cr	new	na	na	na	na	  0
  6	  7	  1	26686308.jpg	obj	new	  1	0.852	cr	new	na	na	na	na	  0
  6	  8	  1	22786420.jpg	obj	old	  0	0.882	miss	new	P1	P23	B	O	  1
  6	  9	  1	Elton_John.jpg	face	old	  0	1.083	miss	new	P2	P23	B	O	  1
  6	 10	  1	8025586.jpg	obj	old	  1	0.809	hit	old	P1	P14	NB	O	  4
  6	 11	  1	Halle_Berry{}.jpg	face	old	  1	1.426	hit	old	P2	P14	NB	O	  4
  6	 12	  1	Jake_Gyllenhaal.jpg	face	new	  0	1.666	fa	old	na	na	na	na	  0
  6	 13	  1	Vince_Vaughn{VIN}.jpg	face	new	  1	1.016	cr	new	na	na	na	na	  0
  6	 14	  1	Cameron_Diaz.jpg	face	old	  1	0.870	hit	old	P1	P14	B	F	  2
  6	 15	  1	9815196.jpg	obj	old	  0	0.788	miss	new	P2	P14	B	F	  2
  6	 16	  1	10048988.jpg	obj	old	  1	0.699	hit	old	P1	P23	B	O	 11
  6	 17	  1	Michael_Jordan.jpg	face	old	  0	0.830	miss	new	P2	P23	B	O	 11
  6	 18	  1	8019279.jpg	obj	old	  0	0.820	miss	new	P1	P23	NB	O	  4
  6	 19	  1	Keira_Knightley{}.jpg	face	old	  1	0.734	hit	old	P2	P23	NB	O	  4
  6	 20	  1	26686197.jpg	obj	new	  1	0.901	cr	new	na	na	na	na	  0
  6	 21	  1	Michelle_Williams.jpg	face	old	  0	1.077	miss	new	P1	P14	B	F	 16
  6	 22	  1	23126525.jpg	obj	old	  0	0.873	miss	new	P2	P14	B	F	 16
  6	 23	  1	22515893.jpg	obj	old	  0	0.986	miss	new	P1	P14	B	O	 13
  6	 24	  1	Jackie_Kennedy.jpg	face	old	  1	0.710	hit	old	P2	P14	B	O	 13
  6	 25	  1	26685493.jpg	obj	new	  1	0.956	cr	new	na	na	na	na	  0
  6	 26	  1	Miley_Cyrus.jpg	face	new	  1	0.960	cr	new	na	na	na	na	  0
  6	 27	  1	10049137.jpg	obj	old	  1	0.982	hit	old	P1	P14	NB	O	 15
  6	 28	  1	Victoria_Beckham.jpg	face	old	  1	0.881	hit	old	P2	P14	NB	O	 15
  6	 29	  1	23397952.jpg	obj	new	  0	0.939	fa	old	na	na	na	na	  0
  6	 30	  1	John_Lennon{JOHN}.jpg	face	new	  1	0.936	cr	new	na	na	na	na	  0
  6	 31	  1	26686173.jpg	obj	new	  1	0.805	cr	new	na	na	na	na	  0
  6	 32	  1	22524591.jpg	obj	old	  0	0.895	miss	new	P1	P23	NB	O	  3
  6	 33	  1	Donald_Trump{DONALD}.jpg	face	old	  1	0.969	hit	old	P2	P23	NB	O	  3
