SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
  2	  1	  1	Jane_Lynch.jpg	face	new	  1	1.750	cr	new	na	na	na	na	  0
  2	  2	  1	9815302.jpg	obj	old	  1	0.902	hit	old	P1	P14	NB	O	 10
  2	  3	  1	Gwyneth_Paltrow{GWEN}.jpg	face	old	  1	1.320	hit	old	P2	P14	NB	O	 10
  2	  4	  1	Tiger_Woods.jpg	face	old	  1	0.737	hit	old	P1	P23	B	F	  4
  2	  5	  1	23203624.jpg	obj	old	  1	0.690	hit	old	P2	P23	B	F	  4
  2	  6	  1	Chris_Rock.jpg	face	new	  1	0.951	cr	new	na	na	na	na	  0
  2	  7	  1	22873261.jpg	obj	old	  1	0.706	hit	old	P1	P23	NB	O	 13
  2	  8	  1	Larry_King{}.jpg	face	old	  1	0.677	hit	old	P2	P23	NB	O	 13
  2	  9	  1	Robin_Williams{}.jpg	face	old	  1	0.697	hit	old	P1	P23	NB	F	  1
  2	 10	  1	22907985.jpg	obj	old	  1	1.486	hit	old	P2	P23	NB	F	  1
  2	 11	  1	26685440.jpg	obj	new	  1	1.896	cr	new	na	na	na	na	  0
  2	 12	  1	Eddie_Murphy.jpg	face	new	  1	1.192	cr	new	na	na	na	na	  0
  2	 13	  1	Cindy_Crawford{}.jpg	face	old	  1	0.631	hit	old	P1	P23	B	F	  7
  2	 14	  1	22514370.jpg	obj	old	  1	0.581	hit	old	P2	P23	B	F	  7
  2	 15	  1	23382208.jpg	obj	new	  1	0.622	cr	new	na	na	na	na	  0
  2	 16	  1	Roger_Federer.jpg	face	new	  1	0.756	cr	new	na	na	na	na	  0
  2	 17	  1	23437396.jpg	obj	new	  1	0.688	cr	new	na	na	na	na	  0
  2	 18	  1	26686157.jpg	obj	new	  1	0.601	cr	new	na	na	na	na	  0
  2	 19	  1	23144165.jpg	obj	old	  1	0.665	hit	old	P1	P23	B	O	  8
  2	 20	  1	George_Clooney{PRESIDENT}.jpg	face	old	  1	1.119	hit	old	P2	P23	B	O	  8
  2	 21	  1	Jay_Leno{}.jpg	face	new	  1	0.784	cr	new	na	na	na	na	  0
  2	 22	  1	23595028.jpg	obj	new	  1	0.654	cr	new	na	na	na	na	  0
  2	 23	  1	26685493.jpg	obj	new	  1	2.215	cr	new	na	na	na	na	  0
  2	 24	  1	23610604.jpg	obj	new	  1	0.703	cr	new	na	na	na	na	  0
  2	 25	  1	8026642.jpg	obj	old	  1	0.655	hit	old	P1	P14	B	O	  6
  2	 26	  1	Bob_Dylan{BOB}.jpg	face	old	  1	0.717	hit	old	P2	P14	B	O	  6
  2	 27	  1	Elvis_Presley{}.jpg	face	new	  1	0.843	cr	new	na	na	na	na	  0
  2	 28	  1	23317456.jpg	obj	new	  1	1.231	cr	new	na	na	na	na	  0
  2	 29	  1	Gwen_Stefani{GWEN}.jpg	face	old	  1	0.811	hit	old	P1	P23	B	F	  3
  2	 30	  1	22533057.jpg	obj	old	  1	0.643	hit	old	P2	P23	B	F	  3
  2	 31	  1	10048988.jpg	obj	old	  1	0.656	hit	old	P1	P23	B	O	  6
  2	 32	  1	Bruce_Willis{BRUCE}.jpg	face	old	  1	0.829	hit	old	P2	P23	B	O	  6
  2	 33	  1	Samuel_L_Jackson{SAM}.jpg	face	old	  1	0.675	hit	old	P1	P14	B	F	 11
  2	 34	  1	23126525.jpg	obj	old	  1	0.664	hit	old	P2	P14	B	F	 11
  2	 35	  1	Sarah_Silverman.jpg	face	new	  1	0.795	cr	new	na	na	na	na	  0
  2	 36	  1	22873417.jpg	obj	old	  1	0.859	hit	old	P1	P14	NB	O	 13
  2	 37	  1	50_Cent.jpg	face	old	  1	0.712	hit	old	P2	P14	NB	O	 13
  2	 38	  1	8022945.jpg	obj	old	  1	1.770	hit	old	P1	P23	B	O	  5
  2	 39	  1	Mila_Kunis.jpg	face	old	  1	0.784	hit	old	P2	P23	B	O	  5
  2	 40	  1	Sheryl_Crow.jpg	face	old	  1	1.375	hit	old	P1	P14	NB	F	  9
  2	 41	  1	8257486.jpg	obj	old	  1	0.624	hit	old	P2	P14	NB	F	  9
  2	 42	  1	8024339.jpg	obj	old	  1	0.695	hit	old	P1	P23	NB	O	  2
  2	 43	  1	Ellen_DeGeneres.jpg	face	old	  1	0.827	hit	old	P2	P23	NB	O	  2
  2	 44	  1	30892642.jpg	obj	new	  1	1.234	cr	new	na	na	na	na	  0
  2	 45	  1	8048744.jpg	obj	old	  1	0.637	hit	old	P1	P23	NB	O	 16
  2	 46	  1	Madonna{}.jpg	face	old	  1	0.524	hit	old	P2	P23	NB	O	 16
  2	 47	  1	16252079.jpg	obj	old	  1	0.664	hit	old	P1	P23	NB	O	 15
  2	 48	  1	Michelle_Obama.jpg	face	old	  1	0.805	hit	old	P2	P23	NB	O	 15
  2	 49	  1	9815265.jpg	obj	old	  1	0.571	hit	old	P1	P23	NB	O	 10
  2	 50	  1	Keira_Knightley{}.jpg	face	old	  1	1.357	hit	old	P2	P23	NB	O	 10
  2	 51	  1	23399212.jpg	obj	new	  1	0.725	cr	new	na	na	na	na	  0
  2	 52	  1	23181605.jpg	obj	old	  1	0.607	hit	old	P1	P14	B	O	  8
  2	 53	  1	Willie_Nelson.jpg	face	old	  1	0.679	hit	old	P2	P14	B	O	  8
  2	 54	  1	Michael_Cera.jpg	face	old	  1	0.658	hit	old	P1	P23	NB	F	 12
  2	 55	  1	8076656.jpg	obj	old	  1	0.687	hit	old	P2	P23	NB	F	 12
  2	 56	  1	Miley_Cyrus.jpg	face	new	  1	1.244	cr	new	na	na	na	na	  0
  2	 57	  1	Whitney_Houston{}.jpg	face	old	  1	0.728	hit	old	P1	P14	B	F	  7
  2	 58	  1	22510045.jpg	obj	old	  1	0.635	hit	old	P2	P14	B	F	  7
  2	 59	  1	8022956.jpg	obj	old	  1	0.736	hit	old	P1	P14	B	O	  5
  2	 60	  1	Oprah_Winfrey{}.jpg	face	old	  1	0.915	hit	old	P2	P14	B	O	  5
  2	 61	  1	Jake_Gyllenhaal.jpg	face	new	  1	1.925	cr	new	na	na	na	na	  0
  2	 62	  1	Danny_DeVito{DAN}.jpg	face	old	  1	1.666	hit	old	P1	P14	B	F	  4
