SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
 28	  1	  1	Benicio_Del_Toro{BEN}.jpg	face	new	  1	1.592	cr	new	na	na	na	na	  0
 28	  2	  1	26684719.jpg	obj	new	  1	0.958	cr	new	na	na	na	na	  0
 28	  3	  1	Steven_Spielberg.jpg	face	old	  0	1.503	miss	new	P1	P23	NB	F	  9
 28	  4	  1	8048744.jpg	obj	old	  1	0.736	hit	old	P2	P23	NB	F	  9
 28	  5	  1	8018741.jpg	obj	old	  0	0.809	miss	new	P1	P23	B	O	 11
 28	  6	  1	Annette_Bening{}.jpg	face	old	  1	0.776	hit	old	P2	P23	B	O	 11
 28	  7	  1	26688139.jpg	obj	new	  1	0.728	cr	new	na	na	na	na	  0
 28	  8	  1	Jessica_Simpson{}.jpg	face	old	  1	0.962	hit	old	P1	P23	NB	F	  6
 28	  9	  1	22824097.jpg	obj	old	  1	1.018	hit	old	P2	P23	NB	F	  6
 28	 10	  1	Lauryn_Hill.jpg	face	old	  1	0.680	hit	old	P1	P14	NB	F	 12
 28	 11	  1	23181605.jpg	obj	old	  1	0.645	hit	old	P2	P14	NB	F	 12
 28	 12	  1	Prince.jpg	face	new	  1	1.407	cr	new	na	na	na	na	  0
 28	 13	  1	Penelope_Cruz.jpg	face	new	  1	1.016	cr	new	na	na	na	na	  0
 28	 14	  1	8028422.jpg	obj	old	  0	1.101	miss	new	P1	P23	NB	O	  3
 28	 15	  1	Jennifer_Aniston{JENNIFER}.jpg	face	old	  0	1.336	miss	new	P2	P23	NB	O	  3
 28	 16	  1	Larry_King{}.jpg	face	old	  1	0.688	hit	old	P1	P23	B	F	 10
 28	 17	  1	9816282.jpg	obj	old	  1	0.852	hit	old	P2	P23	B	F	 10
 28	 18	  1	22538306.jpg	obj	old	  1	0.777	hit	old	P1	P14	NB	O	 13
 28	 19	  1	Danny_DeVito{DAN}.jpg	face	old	  1	0.736	hit	old	P2	P14	NB	O	 13
 28	 20	  1	23687116.jpg	obj	new	  1	0.833	cr	new	na	na	na	na	  0
 28	 21	  1	26685440.jpg	obj	new	  1	0.904	cr	new	na	na	na	na	  0
 28	 22	  1	Billy_Crystal{BILL}.jpg	face	new	  1	1.283	cr	new	na	na	na	na	  0
 28	 23	  1	35314128.jpg	obj	new	  1	1.271	cr	new	na	na	na	na	  0
 28	 24	  1	16248081.jpg	obj	old	  0	1.121	miss	new	P1	P14	NB	O	 15
 28	 25	  1	Mel_Gibson{}.jpg	face	old	  1	1.210	hit	old	P2	P14	NB	O	 15
 28	 26	  1	22857661.jpg	obj	old	  1	0.791	hit	old	P1	P14	B	O	  5
 28	 27	  1	Catherine_Zeta_Jones{}.jpg	face	old	  1	0.998	hit	old	P2	P14	B	O	  5
