SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
 12	  1	  1	Benicio_Del_Toro{BEN}.jpg	face	new	  1	1.625	cr	new	na	na	na	na	  0
 12	  2	  1	26684719.jpg	obj	new	  1	1.161	cr	new	na	na	na	na	  0
 12	  3	  1	Steven_Spielberg.jpg	face	old	  1	0.871	hit	old	P1	P23	NB	F	  9
 12	  4	  1	8048744.jpg	obj	old	  1	0.811	hit	old	P2	P23	NB	F	  9
 12	  5	  1	8018741.jpg	obj	old	  1	1.145	hit	old	P1	P23	B	O	 11
 12	  6	  1	Annette_Bening{}.jpg	face	old	  1	0.841	hit	old	P2	P23	B	O	 11
 12	  7	  1	26688139.jpg	obj	new	  1	0.884	cr	new	na	na	na	na	  0
 12	  8	  1	Jessica_Simpson{}.jpg	face	old	  1	0.767	hit	old	P1	P23	NB	F	  6
 12	  9	  1	22824097.jpg	obj	old	  1	1.327	hit	old	P2	P23	NB	F	  6
 12	 10	  1	Lauryn_Hill.jpg	face	old	  1	0.771	hit	old	P1	P14	NB	F	 12
 12	 11	  1	23181605.jpg	obj	old	  1	0.658	hit	old	P2	P14	NB	F	 12
 12	 12	  1	Prince.jpg	face	new	  1	1.338	cr	new	na	na	na	na	  0
 12	 13	  1	Penelope_Cruz.jpg	face	new	  1	0.970	cr	new	na	na	na	na	  0
 12	 14	  1	8028422.jpg	obj	old	  1	0.848	hit	old	P1	P23	NB	O	  3
 12	 15	  1	Jennifer_Aniston{JENNIFER}.jpg	face	old	  1	0.846	hit	old	P2	P23	NB	O	  3
 12	 16	  1	Larry_King{}.jpg	face	old	  1	0.937	hit	old	P1	P23	B	F	 10
 12	 17	  1	9816282.jpg	obj	old	  1	1.112	hit	old	P2	P23	B	F	 10
 12	 18	  1	22538306.jpg	obj	old	  1	1.239	hit	old	P1	P14	NB	O	 13
 12	 19	  1	Danny_DeVito{DAN}.jpg	face	old	  1	0.953	hit	old	P2	P14	NB	O	 13
 12	 20	  1	23687116.jpg	obj	new	  1	0.934	cr	new	na	na	na	na	  0
 12	 21	  1	26685440.jpg	obj	new	  1	0.933	cr	new	na	na	na	na	  0
 12	 22	  1	Billy_Crystal{BILL}.jpg	face	new	  1	1.261	cr	new	na	na	na	na	  0
 12	 23	  1	35314128.jpg	obj	new	  1	1.173	cr	new	na	na	na	na	  0
 12	 24	  1	16248081.jpg	obj	old	  1	2.074	hit	old	P1	P14	NB	O	 15
 12	 25	  1	Mel_Gibson{}.jpg	face	old	  1	0.859	hit	old	P2	P14	NB	O	 15
 12	 26	  1	22857661.jpg	obj	old	  1	1.778	hit	old	P1	P14	B	O	  5
 12	 27	  1	Catherine_Zeta_Jones{}.jpg	face	old	  1	0.878	hit	old	P2	P14	B	O	  5
 12	 28	  1	Ben_Stiller{BEN}.jpg	face	old	  1	0.993	hit	old	P1	P23	B	F	  8
 12	 29	  1	8252210.jpg	obj	old	  1	0.867	hit	old	P2	P23	B	F	  8
 12	 30	  1	23313580.jpg	obj	new	  1	0.852	cr	new	na	na	na	na	  0
 12	 31	  1	26685100.jpg	obj	new	  1	0.870	cr	new	na	na	na	na	  0
 12	 32	  1	Jake_Gyllenhaal.jpg	face	new	  1	0.952	cr	new	na	na	na	na	  0
 12	 33	  1	Snoop_Dogg{}.jpg	face	old	  1	0.760	hit	old	P1	P23	NB	F	 16
 12	 34	  1	10048739.jpg	obj	old	  0	1.334	miss	new	P2	P23	NB	F	 16
 12	 35	  1	Tom_Cruise{TOM}.jpg	face	old	  1	0.932	hit	old	P1	P23	B	F	 14
 12	 36	  1	8022945.jpg	obj	old	  1	1.206	hit	old	P2	P23	B	F	 14
 12	 37	  1	Kirsten_Dunst{}.jpg	face	new	  1	0.869	cr	new	na	na	na	na	  0
 12	 38	  1	Whoopi_Goldberg.jpg	face	new	  1	1.024	cr	new	na	na	na	na	  0
