SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
  1	  1	  1	Alanis_Morissette.jpg	face	new	  1	1.630	cr	new	na	na	na	na	  0
  1	  2	  1	Barack_Obama.jpg	face	old	  1	1.742	hit	old	P1	P23	NB	F	  5
  1	  3	  1	23248144.jpg	obj	old	  1	0.945	hit	old	P2	P23	NB	F	  5
  1	  4	  1	Lisa_Kudrow{LISA}.jpg	face	old	  1	0.938	hit	old	P1	P23	NB	F	  2
  1	  5	  1	8028422.jpg	obj	old	  1	1.379	hit	old	P2	P23	NB	F	  2
  1	  6	  1	Robert_De_Niro.jpg	face	new	  1	0.995	cr	new	na	na	na	na	  0
  1	  7	  1	Hillary_Duff.jpg	face	new	  1	1.065	cr	new	na	na	na	na	  0
  1	  8	  1	22873417.jpg	obj	old	  1	1.406	hit	old	P1	P14	B	O	  1
  1	  9	  1	Morgan_Freeman{}.jpg	face	old	  0	1.077	miss	new	P2	P14	B	O	  1
  1	 10	  1	Sarah_Jessica_Parker.jpg	face	new	  1	1.799	cr	new	na	na	na	na	  0
  1	 11	  1	26555865.jpg	obj	new	  1	1.156	cr	new	na	na	na	na	  0
  1	 12	  1	Oprah_Winfrey{}.jpg	face	old	  1	0.960	hit	old	P1	P23	B	F	  4
  1	 13	  1	8023948.jpg	obj	old	  1	1.069	hit	old	P2	P23	B	F	  4
  1	 14	  1	8255674.jpg	obj	old	  1	0.954	hit	old	P1	P14	B	O	  9
  1	 15	  1	Michael_Cera.jpg	face	old	  1	0.988	hit	old	P2	P14	B	O	  9
  1	 16	  1	23650084.jpg	obj	new	  1	1.011	cr	new	na	na	na	na	  0
  1	 17	  1	23336596.jpg	obj	new	  1	1.253	cr	new	na	na	na	na	  0
  1	 18	  1	23272516.jpg	obj	new	  1	0.927	cr	new	na	na	na	na	  0
  1	 19	  1	22515893.jpg	obj	old	  1	0.931	hit	old	P1	P14	NB	O	 10
  1	 20	  1	Cindy_Crawford{}.jpg	face	old	  1	0.979	hit	old	P2	P14	NB	O	 10
  1	 21	  1	Kate_Winslet{KATIE}.jpg	face	new	  1	1.375	cr	new	na	na	na	na	  0
  1	 22	  1	26687893.jpg	obj	new	  1	1.066	cr	new	na	na	na	na	  0
  1	 23	  1	Chris_Rock.jpg	face	new	  1	1.022	cr	new	na	na	na	na	  0
  1	 24	  1	Anthony_Hopkins{}.jpg	face	new	  1	0.996	cr	new	na	na	na	na	  0
  1	 25	  1	Elvis_Presley{}.jpg	face	new	  1	0.995	cr	new	na	na	na	na	  0
  1	 26	  1	Amy_Winehouse.jpg	face	old	  1	0.901	hit	old	P1	P23	NB	F	  8
  1	 27	  1	16237598.jpg	obj	old	  1	0.877	hit	old	P2	P23	NB	F	  8
  1	 28	  1	Johnny_Cash.jpg	face	old	  1	0.805	hit	old	P1	P23	B	F	 15
  1	 29	  1	22749112.jpg	obj	old	  1	1.821	hit	old	P2	P23	B	F	 15
  1	 30	  1	23437396.jpg	obj	new	  1	1.766	cr	new	na	na	na	na	  0
  1	 31	  1	Billy_Crystal{BILL}.jpg	face	new	  1	2.024	cr	new	na	na	na	na	  0
  1	 32	  1	Jodie_Foster{}.jpg	face	new	  1	1.010	cr	new	na	na	na	na	  0
