SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
  4	  1	  1	26688112.jpg	obj	new	  1	1.841	cr	new	na	na	na	na	  0
  4	  2	  1	10048739.jpg	obj	old	  1	1.602	hit	old	P1	P23	B	O	  6
  4	  3	  1	Jane_Fonda{}.jpg	face	old	  1	2.430	hit	old	P2	P23	B	O	  6
  4	  4	  1	Lucy_Liu{}.jpg	face	old	  1	1.079	hit	old	P1	P14	B	F	 16
  4	  5	  1	8257486.jpg	obj	old	  1	2.458	hit	old	P2	P14	B	F	 16
  4	  6	  1	26688127.jpg	obj	new	  1	0.877	cr	new	na	na	na	na	  0
  4	  7	  1	26684719.jpg	obj	new	  1	2.533	cr	new	na	na	na	na	  0
  4	  8	  1	26684080.jpg	obj	new	  1	1.209	cr	new	na	na	na	na	  0
  4	  9	  1	Lenny_Kravitz.jpg	face	new	  1	1.055	cr	new	na	na	na	na	  0
  4	 10	  1	26685100.jpg	obj	new	  1	1.028	cr	new	na	na	na	na	  0
  4	 11	  1	Bill_Gates.jpg	face	new	  1	1.242	cr	new	na	na	na	na	  0
  4	 12	  1	23317456.jpg	obj	new	  1	1.197	cr	new	na	na	na	na	  0
  4	 13	  1	Steve_Martin.jpg	face	old	  0	2.259	miss	new	P1	P14	NB	F	  9
  4	 14	  1	23014856.jpg	obj	old	  1	0.826	hit	old	P2	P14	NB	F	  9
  4	 15	  1	8252210.jpg	obj	old	  1	0.728	hit	old	P1	P23	NB	O	  8
  4	 16	  1	Tina_Fey.jpg	face	old	  1	0.754	hit	old	P2	P23	NB	O	  8
  4	 17	  1	Samuel_L_Jackson{SAM}.jpg	face	old	  1	0.843	hit	old	P1	P14	B	F	 13
  4	 18	  1	22906269.jpg	obj	old	  1	0.704	hit	old	P2	P14	B	F	 13
  4	 19	  1	Will_Ferrell.jpg	face	new	  1	0.987	cr	new	na	na	na	na	  0
  4	 20	  1	Paris_Hilton{PARIS}.jpg	face	new	  1	0.920	cr	new	na	na	na	na	  0
  4	 21	  1	22950692.jpg	obj	old	  1	1.340	hit	old	P1	P14	NB	O	  5
  4	 22	  1	Dave_Matthews.jpg	face	old	  1	1.019	hit	old	P2	P14	NB	O	  5
  4	 23	  1	Simon_Cowell.jpg	face	old	  1	1.113	hit	old	P1	P14	NB	F	  7
  4	 24	  1	22776304.jpg	obj	old	  1	1.051	hit	old	P2	P14	NB	F	  7
  4	 25	  1	Penelope_Cruz.jpg	face	new	  1	0.943	cr	new	na	na	na	na	  0
  4	 26	  1	16242936.jpg	obj	old	  1	0.967	hit	old	P1	P14	B	O	  6
  4	 27	  1	Victoria_Beckham.jpg	face	old	  1	0.839	hit	old	P2	P14	B	O	  6
  4	 28	  1	Pierce_Brosnan.jpg	face	old	  1	0.732	hit	old	P1	P23	NB	F	  9
  4	 29	  1	23107781.jpg	obj	old	  1	0.901	hit	old	P2	P23	NB	F	  9
  4	 30	  1	Sarah_Jessica_Parker.jpg	face	new	  1	0.928	cr	new	na	na	na	na	  0
  4	 31	  1	Orlando_Bloom{}.jpg	face	old	  1	1.163	hit	old	P1	P23	NB	F	 15
  4	 32	  1	22907985.jpg	obj	old	  1	0.792	hit	old	P2	P23	NB	F	 15
  4	 33	  1	Mick_Jagger.jpg	face	old	  1	0.798	hit	old	P1	P23	NB	F	  7
  4	 34	  1	22823342.jpg	obj	old	  1	0.872	hit	old	P2	P23	NB	F	  7
  4	 35	  1	James_Franco.jpg	face	new	  1	1.050	cr	new	na	na	na	na	  0
  4	 36	  1	Anthony_Hopkins{}.jpg	face	new	  1	2.485	cr	new	na	na	na	na	  0
  4	 37	  1	22901145.jpg	obj	old	  1	0.743	hit	old	P1	P23	NB	O	  5
  4	 38	  1	Arnold_Schwarzenegger.jpg	face	old	  1	0.932	hit	old	P2	P23	NB	O	  5
  4	 39	  1	John_Travolta{JOHN}.jpg	face	old	  1	0.826	hit	old	P1	P14	NB	F	 15
  4	 40	  1	22883797.jpg	obj	old	  1	1.022	hit	old	P2	P14	NB	F	 15
  4	 41	  1	8025586.jpg	obj	old	  1	0.938	hit	old	P1	P14	NB	O	  4
  4	 42	  1	Queen_Latifah.jpg	face	old	  1	0.793	hit	old	P2	P14	NB	O	  4
  4	 43	  1	Heather_Graham{}.jpg	face	old	  1	2.393	hit	old	P1	P23	B	F	  1
  4	 44	  1	8028422.jpg	obj	old	  1	0.853	hit	old	P2	P23	B	F	  1
  4	 45	  1	Cate_Blanchett.jpg	face	new	  0	0.888	fa	old	na	na	na	na	  0
  4	 46	  1	Liza_Minelli{LISA}.jpg	face	new	  1	1.012	cr	new	na	na	na	na	  0
  4	 47	  1	9816282.jpg	obj	old	  1	1.131	hit	old	P1	P23	NB	O	 10
  4	 48	  1	Michelle_Obama.jpg	face	old	  1	1.228	hit	old	P2	P23	NB	O	 10
  4	 49	  1	8022945.jpg	obj	old	  1	0.905	hit	old	P1	P23	NB	O	  4
  4	 50	  1	Madonna{}.jpg	face	old	  1	0.880	hit	old	P2	P23	NB	O	  4
  4	 51	  1	23274964.jpg	obj	new	  1	1.015	cr	new	na	na	na	na	  0
  4	 52	  1	8055907.jpg	obj	old	  1	0.968	hit	old	P1	P14	NB	O	 14
  4	 53	  1	Sarah_Palin.jpg	face	old	  1	0.943	hit	old	P2	P14	NB	O	 14
  4	 54	  1	Jennifer_Aniston{JENNIFER}.jpg	face	old	  1	0.862	hit	old	P1	P23	B	F	 16
  4	 55	  1	9816266.jpg	obj	old	  1	0.818	hit	old	P2	P23	B	F	 16
  4	 56	  1	23379016.jpg	obj	new	  1	0.954	cr	new	na	na	na	na	  0
  4	 57	  1	Justin_Timberlake.jpg	face	old	  1	0.997	hit	old	P1	P23	B	F	 13
  4	 58	  1	23018972.jpg	obj	old	  1	1.883	hit	old	P2	P23	B	F	 13
  4	 59	  1	35311427.jpg	obj	new	  1	0.987	cr	new	na	na	na	na	  0
  4	 60	  1	8028744.jpg	obj	old	  1	3.650	hit	old	P1	P14	B	O	 11
  4	 61	  1	Halle_Berry{}.jpg	face	old	  1	1.800	hit	old	P2	P14	B	O	 11
  4	 62	  1	Jennifer_Lopez{JENNIFER}.jpg	face	new	  1	0.987	cr	new	na	na	na	na	  0
  4	 63	  1	8024339.jpg	obj	old	  1	1.136	hit	old	P1	P23	B	O	 11
  4	 64	  1	Condoleezza_Rice{GEORGE}.jpg	face	old	  1	0.994	hit	old	P2	P23	B	O	 11
  4	 65	  1	Jay_Leno{}.jpg	face	new	  1	1.153	cr	new	na	na	na	na	  0
  4	 66	  1	23399212.jpg	obj	new	  1	1.669	cr	new	na	na	na	na	  0
  4	 67	  1	23643160.jpg	obj	new	  1	1.284	cr	new	na	na	na	na	  0
  4	 68	  1	Sting{}.jpg	face	new	  1	0.919	cr	new	na	na	na	na	  0
  4	 69	  1	26685493.jpg	obj	new	  1	1.074	cr	new	na	na	na	na	  0
  4	 70	  1	Benicio_Del_Toro{BEN}.jpg	face	new	  1	0.976	cr	new	na	na	na	na	  0
  4	 71	  1	Cameron_Diaz.jpg	face	old	  1	1.020	hit	old	P1	P14	B	F	  1
  4	 72	  1	8023744.jpg	obj	old	  0	2.122	miss	new	P2	P14	B	F	  1
  4	 73	  1	Morgan_Freeman{}.jpg	face	old	  1	1.044	hit	old	P1	P23	B	F	  3
  4	 74	  1	22857877.jpg	obj	old	  1	0.906	hit	old	P2	P23	B	F	  3
  4	 75	  1	10049137.jpg	obj	old	  1	0.833	hit	old	P1	P14	NB	O	 10
  4	 76	  1	Christina_Aguilera.jpg	face	old	  1	0.890	hit	old	P2	P14	NB	O	 10
  4	 77	  1	23277364.jpg	obj	new	  1	0.830	cr	new	na	na	na	na	  0
  4	 78	  1	Nicole_Kidman{}.jpg	face	old	  1	1.170	hit	old	P1	P23	NB	F	  2
  4	 79	  1	22594408.jpg	obj	old	  1	0.967	hit	old	P2	P23	NB	F	  2
  4	 80	  1	Celine_Dion.jpg	face	new	  1	1.341	cr	new	na	na	na	na	  0
  4	 81	  1	26556585.jpg	obj	new	  1	1.044	cr	new	na	na	na	na	  0
  4	 82	  1	9815302.jpg	obj	old	  1	1.016	hit	old	P1	P14	NB	O	  8
  4	 83	  1	Liv_Tyler.jpg	face	old	  1	2.204	hit	old	P2	P14	NB	O	  8
  4	 84	  1	Jerry_Seinfeld.jpg	face	old	  1	0.773	hit	old	P1	P14	B	F	  3
  4	 85	  1	22822826.jpg	obj	old	  1	0.933	hit	old	P2	P14	B	F	  3
  4	 86	  1	26687714.jpg	obj	new	  1	1.326	cr	new	na	na	na	na	  0
  4	 87	  1	Jamie_Foxx.jpg	face	old	  1	1.007	hit	old	P1	P14	NB	F	  2
  4	 88	  1	22531325.jpg	obj	old	  1	1.355	hit	old	P2	P14	NB	F	  2
  4	 89	  1	23192692.jpg	obj	old	  1	0.751	hit	old	P1	P23	B	O	 12
  4	 90	  1	Courteney_Cox{COURTENEY}.jpg	face	old	  1	3.443	hit	old	P2	P23	B	O	 12
  4	 91	  1	23650084.jpg	obj	new	  1	0.788	cr	new	na	na	na	na	  0
  4	 92	  1	10048988.jpg	obj	old	  1	1.071	hit	old	P1	P14	B	O	 12
  4	 93	  1	Barack_Obama.jpg	face	old	  1	1.353	hit	old	P2	P14	B	O	 12
  4	 94	  1	Kate_Winslet{KATIE}.jpg	face	new	  1	1.330	cr	new	na	na	na	na	  0
  4	 95	  1	8028637.jpg	obj	old	  1	0.942	hit	old	P1	P23	NB	O	 14
  4	 96	  1	Keira_Knightley{}.jpg	face	old	  1	1.460	hit	old	P2	P23	NB	O	 14
  4	 97	  2	Tina_Turner{}.jpg	face	old	  1	1.162	hit	old	P1	P14	NB	F	 29
  4	 98	  2	8244979.jpg	obj	old	  1	0.721	hit	old	P2	P14	NB	F	 29
  4	 99	  2	Ashton_Kutcher{}.jpg	face	new	  1	0.935	cr	new	na	na	na	na	  0
  4	100	  2	35312650.jpg	obj	new	  1	1.115	cr	new	na	na	na	na	  0
  4	101	  2	26686197.jpg	obj	new	  1	0.797	cr	new	na	na	na	na	  0
  4	102	  2	23397952.jpg	obj	new	  1	0.940	cr	new	na	na	na	na	  0
  4	103	  2	Colin_Farrell{COLIN}.jpg	face	old	  1	1.482	hit	old	P1	P23	NB	F	 30
  4	104	  2	22749112.jpg	obj	old	  1	0.974	hit	old	P2	P23	NB	F	 30
  4	105	  2	Al_Sharpton{AL}.jpg	face	new	  1	3.453	cr	new	na	na	na	na	  0
  4	106	  2	23480584.jpg	obj	new	  1	0.951	cr	new	na	na	na	na	  0
  4	107	  2	Hillary_Duff.jpg	face	new	  1	0.864	cr	new	na	na	na	na	  0
  4	108	  2	Hillary_Clinton{BILL}.jpg	face	old	  1	0.692	hit	old	P1	P23	NB	F	 31
  4	109	  2	8023948.jpg	obj	old	  1	0.848	hit	old	P2	P23	NB	F	 31
  4	110	  2	22515893.jpg	obj	old	  1	1.067	hit	old	P1	P14	B	O	 19
  4	111	  2	Susan_Sarandon{}.jpg	face	old	  1	3.065	hit	old	P2	P14	B	O	 19
  4	112	  2	Jim_Carrey{JIM}.jpg	face	old	  1	0.889	hit	old	P1	P14	B	F	 27
  4	113	  2	22736776.jpg	obj	old	  1	0.753	hit	old	P2	P14	B	F	 27
  4	114	  2	Will_Smith{WILL}.jpg	face	new	  1	0.826	cr	new	na	na	na	na	  0
  4	115	  2	22758196.jpg	obj	old	  1	0.777	hit	old	P1	P14	NB	O	 21
  4	116	  2	Mike_Myers{MICHAEL}.jpg	face	old	  1	1.759	hit	old	P2	P14	NB	O	 21
  4	117	  2	26686157.jpg	obj	new	  1	1.114	cr	new	na	na	na	na	  0
  4	118	  2	22597420.jpg	obj	old	  1	0.839	hit	old	P1	P14	NB	O	 23
  4	119	  2	Bob_Dylan{BOB}.jpg	face	old	  0	1.836	miss	new	P2	P14	NB	O	 23
  4	120	  2	Hugh_Grant{}.jpg	face	new	  1	1.991	cr	new	na	na	na	na	  0
  4	121	  2	Prince.jpg	face	new	  1	0.897	cr	new	na	na	na	na	  0
