SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
 39	  1	  1	26688206.jpg	obj	new	  1	2.359	cr	new	na	na	na	na	  0
 39	  2	  1	Halle_Berry{}.jpg	face	old	  0	3.266	miss	new	P1	P23	B	F	 15
 39	  3	  1	8023948.jpg	obj	old	  1	1.819	hit	old	P2	P23	B	F	 15
 39	  4	  1	Marilyn_Monroe{}.jpg	face	new	  0	2.056	fa	old	na	na	na	na	  0
 39	  5	  1	Stephen_Colbert.jpg	face	old	  1	1.447	hit	old	P1	P23	NB	F	 12
 39	  6	  1	22857877.jpg	obj	old	  1	1.461	hit	old	P2	P23	NB	F	 12
 39	  7	  1	26688899.jpg	obj	new	  1	1.482	cr	new	na	na	na	na	  0
 39	  8	  1	Antonio_Banderas{}.jpg	face	new	  1	1.283	cr	new	na	na	na	na	  0
 39	  9	  1	50_Cent.jpg	face	old	  1	1.145	hit	old	P1	P23	B	F	  8
 39	 10	  1	22823342.jpg	obj	old	  1	0.980	hit	old	P2	P23	B	F	  8
 39	 11	  1	Sting{}.jpg	face	new	  1	1.321	cr	new	na	na	na	na	  0
 39	 12	  1	23374348.jpg	obj	new	  0	1.212	fa	old	na	na	na	na	  0
 39	 13	  1	23510968.jpg	obj	new	  0	1.231	fa	old	na	na	na	na	  0
 39	 14	  1	23065867.jpg	obj	old	  1	1.662	hit	old	P1	P14	NB	O	  1
 39	 15	  1	Eminem{}.jpg	face	old	  0	1.279	miss	new	P2	P14	NB	O	  1
 39	 16	  1	23383168.jpg	obj	new	  1	1.226	cr	new	na	na	na	na	  0
 39	 17	  1	Will_Ferrell.jpg	face	new	  0	1.441	fa	old	na	na	na	na	  0
 39	 18	  1	Liza_Minelli{LISA}.jpg	face	new	  0	2.030	fa	old	na	na	na	na	  0
 39	 19	  1	Oprah_Winfrey{}.jpg	face	old	  1	1.211	hit	old	P1	P23	NB	F	  2
 39	 20	  1	8250952.jpg	obj	old	  1	1.697	hit	old	P2	P23	NB	F	  2
 39	 21	  1	8021260.jpg	obj	old	  1	0.927	hit	old	P1	P23	NB	O	 16
 39	 22	  1	Tina_Fey.jpg	face	old	  0	1.061	miss	new	P2	P23	NB	O	 16
 39	 23	  1	Zooey_Deschanel.jpg	face	new	  1	1.520	cr	new	na	na	na	na	  0
 39	 24	  1	23242300.jpg	obj	old	  0	1.035	miss	new	P1	P14	NB	O	 13
 39	 25	  1	David_Duchovny{DAVID}.jpg	face	old	  1	1.155	hit	old	P2	P14	NB	O	 13
 39	 26	  1	26556027.jpg	obj	new	  1	1.185	cr	new	na	na	na	na	  0
 39	 27	  1	Prince.jpg	face	new	  0	1.696	fa	old	na	na	na	na	  0
 39	 28	  1	John_Travolta{JOHN}.jpg	face	old	  1	0.762	hit	old	P1	P14	NB	F	 12
 39	 29	  1	22756624.jpg	obj	old	  1	1.122	hit	old	P2	P14	NB	F	 12
 39	 30	  1	Ozzy_Osbourne.jpg	face	new	  1	1.126	cr	new	na	na	na	na	  0
 39	 31	  1	30892642.jpg	obj	new	  1	1.162	cr	new	na	na	na	na	  0
 39	 32	  1	23595028.jpg	obj	new	  0	0.817	fa	old	na	na	na	na	  0
 39	 33	  1	Kirsten_Dunst{}.jpg	face	new	  1	2.388	cr	new	na	na	na	na	  0
 39	 34	  1	22531325.jpg	obj	old	  0	1.091	miss	new	P1	P23	NB	O	 13
 39	 35	  1	Ben_Stiller{BEN}.jpg	face	old	  1	1.103	hit	old	P2	P23	NB	O	 13
 39	 36	  1	9818756.jpg	obj	old	  1	1.670	hit	old	P1	P23	B	O	 10
 39	 37	  1	Bruce_Willis{BRUCE}.jpg	face	old	  0	1.699	miss	new	P2	P23	B	O	 10
 39	 38	  1	Beyonce.jpg	face	old	  1	0.994	hit	old	P1	P14	NB	F	  4
 39	 39	  1	23117153.jpg	obj	old	  1	0.936	hit	old	P2	P14	NB	F	  4
 39	 40	  1	26556196.jpg	obj	new	  1	2.235	cr	new	na	na	na	na	  0
 39	 41	  1	35811537.jpg	obj	new	  0	1.112	fa	old	na	na	na	na	  0
 39	 42	  1	Catherine_Zeta_Jones{}.jpg	face	old	  0	1.182	miss	new	P1	P14	NB	F	  2
 39	 43	  1	23192692.jpg	obj	old	  1	1.262	hit	old	P2	P14	NB	F	  2
 39	 44	  1	23274964.jpg	obj	new	  0	2.274	fa	old	na	na	na	na	  0
 39	 45	  1	23247244.jpg	obj	old	  1	1.239	hit	old	P1	P23	B	O	  9
 39	 46	  1	Snoop_Dogg{}.jpg	face	old	  1	2.059	hit	old	P2	P23	B	O	  9
 39	 47	  1	22883797.jpg	obj	old	  1	2.059	hit	old	P1	P23	NB	O	  1
 39	 48	  1	Conan_OBrien.jpg	face	old	  1	0.979	hit	old	P2	P23	NB	O	  1
 39	 49	  1	Alicia_Keys.jpg	face	old	  1	1.222	hit	old	P1	P14	B	F	 15
 39	 50	  1	23248624.jpg	obj	old	  1	1.351	hit	old	P2	P14	B	F	 15
 39	 51	  1	Cameron_Diaz.jpg	face	old	  1	1.298	hit	old	P1	P14	B	F	  7
 39	 52	  1	10048914.jpg	obj	old	  1	1.179	hit	old	P2	P14	B	F	  7
 39	 53	  1	Vince_Vaughn{VIN}.jpg	face	new	  1	2.729	cr	new	na	na	na	na	  0
 39	 54	  1	Julia_Roberts{JULIA}.jpg	face	new	  0	1.217	fa	old	na	na	na	na	  0
 39	 55	  1	8028744.jpg	obj	old	  1	1.073	hit	old	P1	P14	NB	O	 16
 39	 56	  1	Barbara_Walters{}.jpg	face	old	  1	1.015	hit	old	P2	P14	NB	O	 16
 39	 57	  1	22515893.jpg	obj	old	  1	1.058	hit	old	P1	P14	NB	O	 11
 39	 58	  1	Charlize_Theron.jpg	face	old	  1	1.148	hit	old	P2	P14	NB	O	 11
 39	 59	  1	26686197.jpg	obj	new	  1	1.712	cr	new	na	na	na	na	  0
 39	 60	  1	8055907.jpg	obj	old	  0	0.997	miss	new	P1	P14	B	O	 14
 39	 61	  1	Reese_Witherspoon.jpg	face	old	  1	2.005	hit	old	P2	P14	B	O	 14
 39	 62	  1	26687714.jpg	obj	new	  1	3.100	cr	new	na	na	na	na	  0
 39	 63	  1	Elvis_Presley{}.jpg	face	new	  1	1.479	cr	new	na	na	na	na	  0
 39	 64	  1	8023744.jpg	obj	old	  1	1.053	hit	old	P1	P23	B	O	 14
 39	 65	  1	Salma_Hayek.jpg	face	old	  1	1.375	hit	old	P2	P23	B	O	 14
 39	 66	  1	Johnny_Cash.jpg	face	old	  1	0.920	hit	old	P1	P23	NB	F	  5
 39	 67	  1	23204320.jpg	obj	old	  1	1.327	hit	old	P2	P23	NB	F	  5
 39	 68	  1	Bob_Saget{BOB}.jpg	face	old	  1	1.157	hit	old	P1	P14	NB	F	  5
 39	 69	  1	22524591.jpg	obj	old	  1	0.754	hit	old	P2	P14	NB	F	  5
 39	 70	  1	Johnny_Depp{JOHN}.jpg	face	old	  0	1.549	miss	new	P1	P14	B	F	  3
 39	 71	  1	9816282.jpg	obj	old	  1	0.843	hit	old	P2	P14	B	F	  3
 39	 72	  1	Audrey_Tatou.jpg	face	old	  1	1.685	hit	old	P1	P23	NB	F	  4
 39	 73	  1	23203624.jpg	obj	old	  1	1.405	hit	old	P2	P23	NB	F	  4
 39	 74	  1	Nicolas_Cage{}.jpg	face	old	  0	1.515	miss	new	P1	P14	B	F	  6
