SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
  9	  1	  1	22901145.jpg	obj	old	  1	2.220	hit	old	P1	P14	B	O	  1
  9	  2	  1	Beyonce.jpg	face	old	  1	0.917	hit	old	P2	P14	B	O	  1
  9	  3	  1	Ashton_Kutcher{}.jpg	face	new	  1	1.126	cr	new	na	na	na	na	  0
  9	  4	  1	9814754.jpg	obj	old	  1	2.933	hit	old	P1	P23	NB	O	  7
  9	  5	  1	Christina_Aguilera.jpg	face	old	  1	0.940	hit	old	P2	P23	NB	O	  7
  9	  6	  1	Snoop_Dogg{}.jpg	face	old	  1	0.587	hit	old	P1	P23	NB	F	 11
  9	  7	  1	22531325.jpg	obj	old	  1	2.061	hit	old	P2	P23	NB	F	 11
  9	  8	  1	Jane_Lynch.jpg	face	new	  1	1.586	cr	new	na	na	na	na	  0
  9	  9	  1	Antonio_Banderas{}.jpg	face	new	  1	0.928	cr	new	na	na	na	na	  0
  9	 10	  1	Bill_Gates.jpg	face	new	  1	0.916	cr	new	na	na	na	na	  0
  9	 11	  1	Charlize_Theron.jpg	face	old	  1	0.971	hit	old	P1	P14	NB	F	 15
  9	 12	  1	16252331.jpg	obj	old	  1	0.838	hit	old	P2	P14	NB	F	 15
  9	 13	  1	Bono{BONO}.jpg	face	old	  1	0.737	hit	old	P1	P23	B	F	 14
  9	 14	  1	22736776.jpg	obj	old	  1	0.735	hit	old	P2	P23	B	F	 14
  9	 15	  1	Jennifer_Lopez{JENNIFER}.jpg	face	new	  1	1.003	cr	new	na	na	na	na	  0
  9	 16	  1	Denzel_Washington{}.jpg	face	new	  1	0.988	cr	new	na	na	na	na	  0
  9	 17	  1	David_Duchovny{DAVID}.jpg	face	old	  0	1.051	miss	new	P1	P14	NB	F	  9
  9	 18	  1	22597420.jpg	obj	old	  1	1.429	hit	old	P2	P14	NB	F	  9
  9	 19	  1	Steven_Spielberg.jpg	face	old	  1	1.474	hit	old	P1	P23	NB	F	  4
  9	 20	  1	15858176.jpg	obj	old	  1	2.064	hit	old	P2	P23	NB	F	  4
  9	 21	  1	26685440.jpg	obj	new	  1	1.913	cr	new	na	na	na	na	  0
  9	 22	  1	Whoopi_Goldberg.jpg	face	new	  1	0.828	cr	new	na	na	na	na	  0
  9	 23	  1	8019279.jpg	obj	old	  1	1.093	hit	old	P1	P14	NB	O	  3
  9	 24	  1	Whitney_Houston{}.jpg	face	old	  1	0.859	hit	old	P2	P14	NB	O	  3
  9	 25	  1	Celine_Dion.jpg	face	new	  1	0.952	cr	new	na	na	na	na	  0
  9	 26	  1	Paris_Hilton{PARIS}.jpg	face	new	  1	1.066	cr	new	na	na	na	na	  0
  9	 27	  1	23610604.jpg	obj	new	  1	1.206	cr	new	na	na	na	na	  0
  9	 28	  1	Orlando_Bloom{}.jpg	face	old	  1	1.010	hit	old	P1	P14	B	F	 14
  9	 29	  1	22860265.jpg	obj	old	  1	1.110	hit	old	P2	P14	B	F	 14
  9	 30	  1	23635108.jpg	obj	new	  1	1.830	cr	new	na	na	na	na	  0
  9	 31	  1	9816266.jpg	obj	old	  1	1.016	hit	old	P1	P23	B	O	  8
  9	 32	  1	Victoria_Beckham.jpg	face	old	  0	4.179	miss	new	P2	P23	B	O	  8
  9	 33	  1	Michael_Jordan.jpg	face	old	  1	1.339	hit	old	P1	P23	NB	F	  9
  9	 34	  1	22510045.jpg	obj	old	  1	1.051	hit	old	P2	P23	NB	F	  9
  9	 35	  1	Will_Smith{WILL}.jpg	face	new	  1	1.779	cr	new	na	na	na	na	  0
  9	 36	  1	8022722.jpg	obj	old	  1	1.080	hit	old	P1	P23	B	O	 16
  9	 37	  1	Halle_Berry{}.jpg	face	old	  1	0.857	hit	old	P2	P23	B	O	 16
  9	 38	  1	Sean_Penn{SEAN}.jpg	face	old	  1	1.144	hit	old	P1	P14	NB	F	  4
  9	 39	  1	22529255.jpg	obj	old	  1	1.525	hit	old	P2	P14	NB	F	  4
  9	 40	  1	23510968.jpg	obj	new	  1	1.832	cr	new	na	na	na	na	  0
  9	 41	  1	23248144.jpg	obj	old	  1	0.883	hit	old	P1	P14	NB	O	 10
  9	 42	  1	Lucy_Liu{}.jpg	face	old	  1	0.768	hit	old	P2	P14	NB	O	 10
  9	 43	  1	26686197.jpg	obj	new	  0	0.697	fa	old	na	na	na	na	  0
  9	 44	  1	8048140.jpg	obj	old	  1	0.782	hit	old	P1	P23	NB	O	  3
  9	 45	  1	Liv_Tyler.jpg	face	old	  1	1.214	hit	old	P2	P23	NB	O	  3
  9	 46	  1	8028637.jpg	obj	old	  1	0.687	hit	old	P1	P14	B	O	  8
  9	 47	  1	Uma_Thurman.jpg	face	old	  1	1.357	hit	old	P2	P14	B	O	  8
  9	 48	  1	Kevin_Bacon.jpg	face	old	  1	0.795	hit	old	P1	P14	B	F	 13
  9	 49	  1	22536370.jpg	obj	old	  0	1.627	miss	new	P2	P14	B	F	 13
  9	 50	  1	35311427.jpg	obj	new	  1	0.856	cr	new	na	na	na	na	  0
  9	 51	  1	Al_Sharpton{AL}.jpg	face	new	  1	1.015	cr	new	na	na	na	na	  0
  9	 52	  1	8024339.jpg	obj	old	  1	1.131	hit	old	P1	P14	NB	O	  7
  9	 53	  1	Rachel_Ray.jpg	face	old	  1	1.154	hit	old	P2	P14	NB	O	  7
  9	 54	  1	23399212.jpg	obj	new	  1	1.167	cr	new	na	na	na	na	  0
  9	 55	  1	22520530.jpg	obj	old	  1	1.083	hit	old	P1	P23	NB	O	  2
  9	 56	  1	Bob_Dylan{BOB}.jpg	face	old	  1	1.925	hit	old	P2	P23	NB	O	  2
  9	 57	  1	22533900.jpg	obj	old	  1	1.497	hit	old	P1	P14	B	O	  5
  9	 58	  1	Clint_Eastwood.jpg	face	old	  1	0.766	hit	old	P2	P14	B	O	  5
  9	 59	  1	Jay_Leno{}.jpg	face	new	  1	0.850	cr	new	na	na	na	na	  0
  9	 60	  1	23656000.jpg	obj	new	  0	2.031	fa	old	na	na	na	na	  0
  9	 61	  1	23336596.jpg	obj	new	  0	1.738	fa	old	na	na	na	na	  0
  9	 62	  1	Tom_Hanks{TOM}.jpg	face	old	  1	1.756	hit	old	P1	P23	NB	F	 15
  9	 63	  1	9815759.jpg	obj	old	  1	0.932	hit	old	P2	P23	NB	F	 15
  9	 64	  1	26685466.jpg	obj	new	  1	1.040	cr	new	na	na	na	na	  0
  9	 65	  1	8023948.jpg	obj	old	  1	0.739	hit	old	P1	P23	NB	O	 10
  9	 66	  1	Sarah_Palin.jpg	face	old	  1	0.842	hit	old	P2	P23	NB	O	 10
  9	 67	  1	Kevin_Spacey{}.jpg	face	old	  1	1.158	hit	old	P1	P14	NB	F	 11
  9	 68	  1	22691176.jpg	obj	old	  1	0.933	hit	old	P2	P14	NB	F	 11
  9	 69	  1	Michael_Cera.jpg	face	old	  1	2.628	hit	old	P1	P14	NB	F	 12
  9	 70	  1	23117225.jpg	obj	old	  0	0.996	miss	new	P2	P14	NB	F	 12
  9	 71	  1	Mila_Kunis.jpg	face	old	  1	1.233	hit	old	P1	P23	NB	F	 12
  9	 72	  1	22883797.jpg	obj	old	  1	1.117	hit	old	P2	P23	NB	F	 12
  9	 73	  1	26556585.jpg	obj	new	  1	2.934	cr	new	na	na	na	na	  0
