SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
  5	  1	  1	Roger_Federer.jpg	face	new	  1	1.318	cr	new	na	na	na	na	  0
  5	  2	  1	Britney_Spears{BRITNEY}.jpg	face	new	  1	1.309	cr	new	na	na	na	na	  0
  5	  3	  1	John_Lennon{JOHN}.jpg	face	new	  1	0.849	cr	new	na	na	na	na	  0
  5	  4	  1	8025586.jpg	obj	old	  1	1.036	hit	old	P1	P14	B	O	  4
  5	  5	  1	Heather_Graham{}.jpg	face	old	  1	1.027	hit	old	P2	P14	B	O	  4
  5	  6	  1	23197288.jpg	obj	old	  1	0.961	hit	old	P1	P14	B	O	  2
  5	  7	  1	Michael_Cera.jpg	face	old	  1	0.966	hit	old	P2	P14	B	O	  2
  5	  8	  1	50_Cent.jpg	face	old	  1	3.062	hit	old	P1	P23	NB	F	  7
  5	  9	  1	22857877.jpg	obj	old	  1	0.872	hit	old	P2	P23	NB	F	  7
  5	 10	  1	22531325.jpg	obj	old	  1	1.179	hit	old	P1	P23	B	O	 10
  5	 11	  1	Tom_Hanks{TOM}.jpg	face	old	  1	0.936	hit	old	P2	P23	B	O	 10
  5	 12	  1	23320372.jpg	obj	new	  1	0.752	cr	new	na	na	na	na	  0
  5	 13	  1	35811537.jpg	obj	new	  1	0.966	cr	new	na	na	na	na	  0
  5	 14	  1	23510968.jpg	obj	new	  1	0.975	cr	new	na	na	na	na	  0
  5	 15	  1	Lenny_Kravitz.jpg	face	new	  1	0.930	cr	new	na	na	na	na	  0
  5	 16	  1	Meryl_Streep{}.jpg	face	new	  1	0.816	cr	new	na	na	na	na	  0
  5	 17	  1	23312920.jpg	obj	new	  1	1.124	cr	new	na	na	na	na	  0
  5	 18	  1	Dustin_Hoffman{}.jpg	face	new	  1	0.789	cr	new	na	na	na	na	  0
  5	 19	  1	26688899.jpg	obj	new	  1	0.762	cr	new	na	na	na	na	  0
  5	 20	  1	Jennifer_Lopez{JENNIFER}.jpg	face	new	  1	1.135	cr	new	na	na	na	na	  0
  5	 21	  1	Gwyneth_Paltrow{GWEN}.jpg	face	old	  0	0.707	miss	new	P1	P23	NB	F	 11
  5	 22	  1	8246026.jpg	obj	old	  1	0.956	hit	old	P2	P23	NB	F	 11
  5	 23	  1	Victoria_Beckham.jpg	face	old	  1	1.074	hit	old	P1	P23	NB	F	  1
  5	 24	  1	16237598.jpg	obj	old	  1	0.925	hit	old	P2	P23	NB	F	  1
  5	 25	  1	22855177.jpg	obj	old	  1	0.784	hit	old	P1	P14	B	O	 13
  5	 26	  1	Morgan_Freeman{}.jpg	face	old	  1	0.767	hit	old	P2	P14	B	O	 13
  5	 27	  1	8026642.jpg	obj	old	  1	0.755	hit	old	P1	P14	NB	O	 12
  5	 28	  1	Kevin_Bacon.jpg	face	old	  1	0.810	hit	old	P2	P14	NB	O	 12
  5	 29	  1	Bill_Gates.jpg	face	new	  1	0.943	cr	new	na	na	na	na	  0
  5	 30	  1	Ellen_Page.jpg	face	new	  1	1.013	cr	new	na	na	na	na	  0
  5	 31	  1	Brad_Pitt{BRAD}.jpg	face	old	  1	1.176	hit	old	P1	P14	NB	F	  6
  5	 32	  1	23024648.jpg	obj	old	  1	0.861	hit	old	P2	P14	NB	F	  6
  5	 33	  1	22538306.jpg	obj	old	  1	1.077	hit	old	P1	P23	NB	O	 12
