SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
 10	  1	  1	23437396.jpg	obj	new	  1	2.080	cr	new	na	na	na	na	  0
 10	  2	  1	8048140.jpg	obj	old	  0	1.128	miss	new	P1	P23	B	O	 12
 10	  3	  1	Jennifer_Aniston{JENNIFER}.jpg	face	old	  1	0.939	hit	old	P2	P23	B	O	 12
 10	  4	  1	23189405.jpg	obj	old	  1	0.904	hit	old	P1	P23	B	O	 16
 10	  5	  1	Katie_Couric.jpg	face	old	  1	1.010	hit	old	P2	P23	B	O	 16
 10	  6	  1	Ashton_Kutcher{}.jpg	face	new	  1	0.981	cr	new	na	na	na	na	  0
 10	  7	  1	Joan_Rivers{}.jpg	face	old	  1	0.929	hit	old	P1	P23	NB	F	  2
 10	  8	  1	23144165.jpg	obj	old	  1	0.736	hit	old	P2	P23	NB	F	  2
 10	  9	  1	23093909.jpg	obj	old	  1	0.642	hit	old	P1	P14	B	O	  7
 10	 10	  1	Sheryl_Crow.jpg	face	old	  1	0.927	hit	old	P2	P14	B	O	  7
 10	 11	  1	Ozzy_Osbourne.jpg	face	new	  1	0.724	cr	new	na	na	na	na	  0
 10	 12	  1	26686157.jpg	obj	new	  1	0.620	cr	new	na	na	na	na	  0
 10	 13	  1	26686173.jpg	obj	new	  1	0.663	cr	new	na	na	na	na	  0
 10	 14	  1	26556196.jpg	obj	new	  1	0.662	cr	new	na	na	na	na	  0
 10	 15	  1	Courteney_Cox{COURTENEY}.jpg	face	old	  1	1.473	hit	old	P1	P23	NB	F	  8
 10	 16	  1	22786420.jpg	obj	old	  0	1.021	miss	new	P2	P23	NB	F	  8
 10	 17	  1	Willie_Nelson.jpg	face	old	  1	0.899	hit	old	P1	P14	NB	F	  8
 10	 18	  1	22902789.jpg	obj	old	  1	0.946	hit	old	P2	P14	NB	F	  8
 10	 19	  1	Ben_Stiller{BEN}.jpg	face	old	  1	0.640	hit	old	P1	P23	B	F	 14
 10	 20	  1	10048739.jpg	obj	old	  1	0.845	hit	old	P2	P23	B	F	 14
 10	 21	  1	Debra_Messing{}.jpg	face	new	  1	0.849	cr	new	na	na	na	na	  0
 10	 22	  1	Queen_Latifah.jpg	face	old	  1	0.847	hit	old	P1	P14	NB	F	  2
 10	 23	  1	9815196.jpg	obj	old	  1	1.866	hit	old	P2	P14	NB	F	  2
 10	 24	  1	Kirsten_Dunst{}.jpg	face	new	  1	0.797	cr	new	na	na	na	na	  0
 10	 25	  1	Jane_Lynch.jpg	face	new	  1	0.849	cr	new	na	na	na	na	  0
 10	 26	  1	Mike_Myers{MICHAEL}.jpg	face	old	  0	0.716	miss	new	P1	P14	NB	F	  1
 10	 27	  1	8026642.jpg	obj	old	  1	0.844	hit	old	P2	P14	NB	F	  1
 10	 28	  1	Lindsay_Lohan{}.jpg	face	new	  1	1.180	cr	new	na	na	na	na	  0
 10	 29	  1	Benicio_Del_Toro{BEN}.jpg	face	new	  1	0.848	cr	new	na	na	na	na	  0
 10	 30	  1	Lenny_Kravitz.jpg	face	new	  1	0.803	cr	new	na	na	na	na	  0
 10	 31	  1	23317456.jpg	obj	new	  1	0.880	cr	new	na	na	na	na	  0
 10	 32	  1	Whoopi_Goldberg.jpg	face	new	  1	0.701	cr	new	na	na	na	na	  0
 10	 33	  1	26688206.jpg	obj	new	  1	0.626	cr	new	na	na	na	na	  0
 10	 34	  1	16248081.jpg	obj	old	  0	1.712	miss	new	P1	P14	B	O	  9
 10	 35	  1	Simon_Cowell.jpg	face	old	  0	0.996	miss	new	P2	P14	B	O	  9
 10	 36	  1	23656000.jpg	obj	new	  1	0.673	cr	new	na	na	na	na	  0
 10	 37	  1	Bruce_Willis{BRUCE}.jpg	face	old	  1	0.833	hit	old	P1	P23	NB	F	  4
 10	 38	  1	8028637.jpg	obj	old	  1	2.544	hit	old	P2	P23	NB	F	  4
 10	 39	  1	Martin_Luther_King_JR{}.jpg	face	old	  1	1.805	hit	old	P1	P14	B	F	 14
 10	 40	  1	22529255.jpg	obj	old	  1	0.915	hit	old	P2	P14	B	F	 14
 10	 41	  1	26685100.jpg	obj	new	  1	1.533	cr	new	na	na	na	na	  0
 10	 42	  1	Will_Ferrell.jpg	face	new	  1	0.844	cr	new	na	na	na	na	  0
 10	 43	  1	Leonardo_DiCaprio{}.jpg	face	old	  0	2.487	miss	new	P1	P14	B	F	  6
 10	 44	  1	22597420.jpg	obj	old	  0	2.512	miss	new	P2	P14	B	F	  6
 10	 45	  1	Russell_Crowe.jpg	face	old	  0	1.300	miss	new	P1	P14	NB	F	 10
 10	 46	  1	23065867.jpg	obj	old	  1	0.770	hit	old	P2	P14	NB	F	 10
 10	 47	  1	Anthony_Hopkins{}.jpg	face	new	  1	0.897	cr	new	na	na	na	na	  0
 10	 48	  1	23687116.jpg	obj	new	  1	1.030	cr	new	na	na	na	na	  0
 10	 49	  1	16237598.jpg	obj	old	  1	2.557	hit	old	P1	P23	NB	O	  5
 10	 50	  1	Gwen_Stefani{GWEN}.jpg	face	old	  1	0.834	hit	old	P2	P23	NB	O	  5
 10	 51	  1	Amy_Winehouse.jpg	face	old	  1	1.077	hit	old	P1	P14	B	F	 15
 10	 52	  1	8055907.jpg	obj	old	  1	0.682	hit	old	P2	P14	B	F	 15
 10	 53	  1	22594408.jpg	obj	old	  1	0.835	hit	old	P1	P23	B	O	  9
