SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
  8	  1	  1	23656000.jpg	obj	new	  1	2.752	cr	new	na	na	na	na	  0
  8	  2	  1	22515893.jpg	obj	old	  1	0.981	hit	old	P1	P14	B	O	  3
  8	  3	  1	Sharon_Stone.jpg	face	old	  1	1.141	hit	old	P2	P14	B	O	  3
  8	  4	  1	8255674.jpg	obj	old	  1	1.291	hit	old	P1	P14	NB	O	 10
  8	  5	  1	Oprah_Winfrey{}.jpg	face	old	  1	0.775	hit	old	P2	P14	NB	O	 10
  8	  6	  1	Jay_Leno{}.jpg	face	new	  1	0.767	cr	new	na	na	na	na	  0
  8	  7	  1	Jodie_Foster{}.jpg	face	new	  1	0.848	cr	new	na	na	na	na	  0
  8	  8	  1	Simon_Cowell.jpg	face	old	  1	0.613	hit	old	P1	P14	NB	F	 14
  8	  9	  1	22531325.jpg	obj	old	  1	0.882	hit	old	P2	P14	NB	F	 14
  8	 10	  1	8022945.jpg	obj	old	  1	0.657	hit	old	P1	P23	NB	O	 12
  8	 11	  1	Michelle_Obama.jpg	face	old	  1	0.778	hit	old	P2	P23	NB	O	 12
  8	 12	  1	9815302.jpg	obj	old	  1	0.726	hit	old	P1	P14	NB	O	  5
  8	 13	  1	Christina_Aguilera.jpg	face	old	  1	1.243	hit	old	P2	P14	NB	O	  5
  8	 14	  1	23650084.jpg	obj	new	  1	1.292	cr	new	na	na	na	na	  0
  8	 15	  1	Whoopi_Goldberg.jpg	face	new	  1	1.367	cr	new	na	na	na	na	  0
  8	 16	  1	Mariah_Carey{}.jpg	face	new	  1	1.001	cr	new	na	na	na	na	  0
  8	 17	  1	Lucy_Liu{}.jpg	face	old	  1	0.643	hit	old	P1	P14	B	F	  8
  8	 18	  1	23259376.jpg	obj	old	  1	0.690	hit	old	P2	P14	B	F	  8
