SubjectNumber	Trial	Block	Item	ItemType	ItemOldNew	Accuracy	RT	SDT	ProbeResp	PrimeType	PairType	BoundaryType	StimOrder	EncPos
 13	  1	  1	23189405.jpg	obj	old	  1	1.563	hit	old	P1	P23	NB	O	 12
 13	  2	  1	Oprah_Winfrey{}.jpg	face	old	  0	1.512	miss	new	P2	P23	NB	O	 12
 13	  3	  1	Dustin_Hoffman{}.jpg	face	new	  1	1.423	cr	new	na	na	na	na	  0
 13	  4	  1	22873261.jpg	obj	old	  1	0.904	hit	old	P1	P14	NB	O	 12
 13	  5	  1	Alicia_Keys.jpg	face	old	  1	0.865	hit	old	P2	P14	NB	O	 12
 13	  6	  1	8028422.jpg	obj	old	  1	0.740	hit	old	P1	P23	B	O	  3
 13	  7	  1	Amy_Winehouse.jpg	face	old	  1	0.796	hit	old	P2	P23	B	O	  3
 13	  8	  1	22907985.jpg	obj	old	  1	0.833	hit	old	P1	P23	NB	O	  8
 13	  9	  1	Russell_Crowe.jpg	face	old	  1	0.734	hit	old	P2	P23	NB	O	  8
 13	 10	  1	Joan_Rivers{}.jpg	face	old	  1	0.995	hit	old	P1	P23	NB	F	 13
 13	 11	  1	22883797.jpg	obj	old	  1	1.090	hit	old	P2	P23	NB	F	 13
 13	 12	  1	22515603.jpg	obj	old	  1	0.872	hit	old	P1	P14	B	O	  9
 13	 13	  1	Steve_Martin.jpg	face	old	  1	0.810	hit	old	P2	P14	B	O	  9
 13	 14	  1	Helen_Hunt{}.jpg	face	old	  1	0.880	hit	old	P1	P14	NB	F	 13
 13	 15	  1	23197288.jpg	obj	old	  1	0.928	hit	old	P2	P14	NB	F	 13
 13	 16	  1	Pierce_Brosnan.jpg	face	old	  1	0.992	hit	old	P1	P14	B	F	  4
 13	 17	  1	22860265.jpg	obj	old	  0	0.833	miss	new	P2	P14	B	F	  4
 13	 18	  1	Jane_Lynch.jpg	face	new	  1	1.414	cr	new	na	na	na	na	  0
