subj,task,session,list,word,category,intrusion,rectime
R1013E,catFR1,0,24,WINDOW,Building,0,19.74
R1013E,catFR1,0,24,STAIRS,Building,0,20.301
R1015J,catFR1,0,1,COBBLER,Desserts,0,20.392
R1015J,catFR1,0,1,STRAWBERRY,Fruit,0,24.935
R1015J,catFR1,0,2,RECLINER,Furniture,0,3.618
R1015J,catFR1,0,3,HEN,FarmAnimals,0,4.919
R1015J,catFR1,0,3,SPATULA,KitchenTools,0,7.061
R1015J,catFR1,0,3,TULIP,X,1,19.356
R1015J,catFR1,0,5,CROW,Birds,0,0.49
R1015J,catFR1,0,5,ORANGUTAN,Zoo,0,1.742
R1015J,catFR1,0,5,DUCK,Birds,0,3.523
R1015J,catFR1,0,6,SNOW,Weather,0,2.073
R1015J,catFR1,0,6,SHELF,Furniture,0,3.96
R1015J,catFR1,0,6,ORANGUTAN,X,1,22.048
R1015J,catFR1,0,7,PLUM,Fruit,0,3.762
R1015J,catFR1,0,8,PANTS,Clothing,0,10.151
R1015J,catFR1,0,9,COLANDER,KitchenTools,0,2.338
R1015J,catFR1,0,9,GNAT,Insects,0,5.142
R1015J,catFR1,0,9,BEE,Insects,0,6.361
R1015J,catFR1,0,10,COLANDER,X,1,2.038
R1015J,catFR1,0,10,CABINET,Furniture,0,3.77
R1015J,catFR1,0,10,STAND,X,-1,6.157
R1016M,catFR1,0,1,LEMONADE,Beverages,0,1.951
R1016M,catFR1,0,1,CABBAGE,Vegetables,0,7.885
R1016M,catFR1,0,1,WIND,X,-1,12.307
R1016M,catFR1,0,2,KNIFE,KitchenTools,0,2.059
R1016M,catFR1,0,2,WHISK,KitchenTools,0,3.292
R1016M,catFR1,0,2,GRATER,KitchenTools,0,7.955
R1016M,catFR1,0,2,WATERMELON,X,-1,23.553
R1016M,catFR1,0,3,WINDOW,Building,0,3.795
R1016M,catFR1,0,3,LILAC,Flowers,0,5.43
R1016M,catFR1,0,3,SPARROW,Birds,0,6.715
R1016M,catFR1,0,3,HAWK,Birds,0,8.387
R1016M,catFR1,0,3,ORCHID,Flowers,0,10.388
R1016M,catFR1,0,3,HALLWAY,Building,0,13.817
R1016M,catFR1,0,3,CEILING,Building,0,15.718
R1016M,catFR1,0,3,PIGEON,Birds,0,26.553
R1016M,catFR1,0,4,HOOK,X,-1,2.756
R1016M,catFR1,0,4,BIKE,Vehicles,0,12.661
R1016M,catFR1,0,4,SCOOTER,Vehicles,0,13.796
R1016M,catFR1,0,5,FOG,Weather,0,10.039
R1016M,catFR1,0,5,RAIN,Weather,0,16.917
R1016M,catFR1,0,5,WINDOW,X,2,19.088
R1016M,catFR1,0,5,STORM,X,-1,21.324
R1016M,catFR1,0,6,ROBIN,Birds,0,1.622
R1016M,catFR1,0,6,SEAGULL,Birds,0,3.307
R1016M,catFR1,0,6,BOOK,X,-1,5.792
R1016M,catFR1,0,6,SPRUCE,X,1,16.806
R1016M,catFR1,0,6,COOK,X,-1,25.075
R1016M,catFR1,0,7,GIRAFFE,Zoo,0,2.919
R1016M,catFR1,0,7,COW,FarmAnimals,0,4.925
R1016M,catFR1,0,7,DAFFODIL,Flowers,0,6.765
R1016M,catFR1,0,7,BEAR,Zoo,0,8.967
R1016M,catFR1,0,7,SEAGULL,X,1,18.628
R1016M,catFR1,0,8,FINGERS,BodyParts,0,0.699
R1016M,catFR1,0,8,FOOT,BodyParts,0,1.862
R1016M,catFR1,0,8,TONGS,KitchenTools,0,5.484
R1016M,catFR1,0,8,HEAD,BodyParts,0,13.957
R1016M,catFR1,0,9,PIE,Desserts,0,2.374
R1016M,catFR1,0,9,PASTRY,Desserts,0,3.56
R1016M,catFR1,0,9,MARIGOLD,Flowers,0,5.481
R1016M,catFR1,0,9,MOUNTAIN,Landscapes,0,24.494
R1016M,catFR1,0,9,LAKE,Landscapes,0,27.367
R1016M,catFR1,0,10,SCREWDRIVER,X,-1,3.758
R1016M,catFR1,0,10,PLIERS,Tools,0,6.377
R1016M,catFR1,0,10,DRILL,Tools,0,8.845
R1016M,catFR1,0,10,POTATO,Vegetables,0,12.731
R1016M,catFR1,0,10,CARROT,Vegetables,0,15.724
R1016M,catFR1,0,10,CORN,Vegetables,0,17.587
R1016M,catFR1,0,10,SCREW,X,-1,21.953
R1016M,catFR1,0,11,SPINACH,Vegetables,0,22.359
R1016M,catFR1,0,12,COUCH,Furniture,0,3.291
R1016M,catFR1,0,12,ROOSTER,X,11,18.683
R1016M,catFR1,0,12,BIKE,X,8,24.307
R1016M,catFR1,0,13,FOLDER,OfficeSupplies,0,4.492
R1016M,catFR1,0,13,VAN,Vehicles,0,6.921
R1016M,catFR1,0,13,OYSTER,OceanAnimals,0,13.65
R1016M,catFR1,0,13,JELLYFISH,OceanAnimals,0,18.48
R1016M,catFR1,0,14,BEACH,Landscapes,0,10.961
R1016M,catFR1,0,15,SHOES,Clothing,0,2.032
R1016M,catFR1,0,15,HURRICANE,Weather,0,3.994
R1016M,catFR1,0,15,THUNDER,X,10,11.822
R1016M,catFR1,0,15,SHOWER,X,-1,18.215
R1016M,catFR1,0,15,LEG,X,4,28.366
R1016M,catFR1,0,16,CROWBAR,Tools,0,1.141
R1016M,catFR1,0,16,SCREWDRIVER,Tools,0,3.443
R1016M,catFR1,0,16,HEN,FarmAnimals,0,14.287
R1016M,catFR1,0,16,FORK,X,6,17.013
R1016M,catFR1,0,17,TRUMPET,Instruments,0,1.532
R1016M,catFR1,0,17,TROMBONE,Instruments,0,3.831
R1016M,catFR1,0,19,SPICES,X,-1,11.318
R1016M,catFR1,0,20,CABINET,Furniture,0,2.532
R1016M,catFR1,0,20,DRESSER,Furniture,0,4.752
R1016M,catFR1,0,20,HICKORY,Trees,0,6.82
R1016M,catFR1,0,20,PINE,Trees,0,8.582
R1016M,catFR1,0,20,MAPLE,Trees,0,12.721
R1016M,catFR1,0,20,RECLINER,Furniture,0,17.636
R1016M,catFR1,0,20,BALL,Toys,0,29.65
R1016M,catFR1,0,21,LION,Zoo,0,1.986
R1016M,catFR1,0,21,PANDA,Zoo,0,4.304
R1016M,catFR1,0,21,PEAR,Fruit,0,11.099
R1016M,catFR1,0,21,BANANA,Fruit,0,13.035
R1016M,catFR1,0,21,GORILLA,Zoo,0,22.264
R1016M,catFR1,0,22,SPIDER,Insects,0,2.255
R1016M,catFR1,0,22,MOSQUITO,Insects,0,3.441
R1016M,catFR1,0,22,PELICAN,X,-1,5.399
R1016M,catFR1,0,22,FISH,OceanAnimals,0,9.379
R1016M,catFR1,0,22,SQUIRREL,X,-1,13.441
R1016M,catFR1,0,23,DOLLHOUSE,Toys,0,4.687
R1016M,catFR1,0,23,SPEAKER,X,4,11.998
R1016M,catFR1,0,24,DRUM,Instruments,0,0.977
R1016M,catFR1,0,24,BASS,Instruments,0,2.578
R1016M,catFR1,0,24,SHORTS,Clothing,0,4.172
R1016M,catFR1,0,24,HOUSE,X,-1,10.631
R1016M,catFR1,0,24,WASHER,X,6,29.845
R1016M,catFR1,0,25,PLUM,X,4,3.041
R1016M,catFR1,0,25,ORANGE,Fruit,0,18.141
R1016M,catFR1,0,25,GRAPE,Fruit,0,20.127
R1016M,catFR1,1,1,SUNFLOWER,Flowers,0,2.64
R1016M,catFR1,1,1,KNIFE,KitchenTools,0,6.049
R1016M,catFR1,1,1,LILAC,X,-1,12.22
R1016M,catFR1,1,1,MARIGOLD,Flowers,0,14.93
R1016M,catFR1,1,1,NUT,X,-1,29.264
R1016M,catFR1,1,2,IRON,Appliances,0,2.299
R1016M,catFR1,1,2,STAPLER,OfficeSupplies,0,3.839
R1016M,catFR1,1,2,FOLDER,OfficeSupplies,0,5.521
R1016M,catFR1,1,2,PAPER,OfficeSupplies,0,7.491
R1016M,catFR1,1,2,WALLFLOWER,X,-1,13.709
R1016M,catFR1,1,2,CHIMPANZEE,Zoo,0,19.75
R1016M,catFR1,1,3,OCEAN,Landscapes,0,2.71
